"Time","YAW_RATE","STEERING_TORQUE","ACCEL_Y","BRAKE_AMOUNT","BRAKE_PEDAL","ENCODER","SPEED","CHECKSUM","CRUISE_ACTIVE","GAS_RELEASED","STANDSTILL_ON","ACCEL_NET","CRUISE_STATE","CANCEL_REQ","MAIN_ON","LOW_SPEED_LOCKOUT","SET_SPEED","GAS_PEDAL","DISTANCE_LINES","CRUISE_CONTROL_STATE","UI_SET_SPEED","VIN_1","VIN_2","VIN_3","VIN_4","VIN_5","VIN_6","VIN_7","VIN_8","VIN_9","VIN_10","VIN_11","VIN_12","VIN_13","VIN_14","VIN_15","VIN_16","VIN_17","UNITS","ODOMETER","DOOR_OPEN_FL","DOOR_OPEN_FR","DOOR_OPEN_RR","DOOR_OPEN_RL","SEATBELT_DRIVER_UNLATCHED"
"s","deg/sec","","m/s^2","","","","kph","","","","","m/s2","","","","kph","kph","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8.747","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8.842","","","","","","","","4","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8.937","","","","","","","","4","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.125","","","","","","","","4","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.220","","","","","","","","4","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.378","","","","","","96","0","16","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.505","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.584","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.615","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.679","","","","","","","","4","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.695","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.726","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.836","","","","0","0","","","4","","","","","","","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9.978","","","","","","","","174","0","","0","0.682","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.088","","","","","","","","180","0","","0","0.685","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.183","-0.072","4","-0.286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.230","","","","","","","","174","0","","0","0.682","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.436","","","","","","","","174","0","","0","0.682","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.562","","","","","","","","180","0","","0","0.685","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.609","-0.072","3","-0.251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.625","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.721","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.753","","","","","","","","174","0","","0","0.682","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.864","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10.943","","","","","","","","174","0","","0","0.682","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11.005","","","","","","","","180","0","","0","0.685","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11.195","","","","","","96","0","104","0","","0","0.685","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11.400","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11.495","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11.591","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11.891","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12.081","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12.143","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12.238","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12.269","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12.364","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12.506","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12.522","-0.072","4","-0.286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13.092","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13.123","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13.171","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13.235","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13.282","","","","0","0","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13.377","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13.646","","","","","","","","","","","","","","","0","","","","0","0","60","","","","","","","","","","","","","","","","","","","","","","","",""
"13.803","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14.168","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14.247","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14.279","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14.420","-0.072","3","-0.286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14.656","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14.814","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14.909","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15.020","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15.052","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15.164","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15.370","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15.639","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
